"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1930","[0.2272823452949524\， 0.6578095555305481\， 0.14100484549999237\， 0.19457438588142395]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1930-1.json","Maolin","(-1044.7113227286611\， 603.164452388873)","(-17.97933006286621\， 26.316957473754883)"
"1931","[0.21684782207012177\， 0.6915807127952576\， 0.10660824924707413\， 0.14711007475852966]","1.0","[0.0\， 1.5707963705062866\， -0.5235987901687622]","faces/f1931-0.json","N/A","(-1165.8225196471074\， 312.41013023628267)","(19.45870590209961\， -17.5639705657959)"
"1931","[0.6570030450820923\， 0.672028660774231\， 0.12032300978899002\， 0.1660352498292923]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1931-1.json","Village Leader","(-1165.7124808413544\， 312.4052422232774)","(-38.57828140258789\， 41.30264663696289)"
"1932","[0.6413742303848267\， 0.5667773485183716\， 0.10025574266910553\， 0.1383441686630249]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1932-3.json","N/A","(-1207.4646564424038\， 0.01669433716627064)","(17.59921646118164\， 5.065917015075684)"
"1935","[0.5867252349853516\， 0.5729594826698303\， 0.10429520159959793\， 0.1439182609319687]","1.0","[0.0\， 0.0\， 0.0]","faces/f1935-0.json","N/A","(-855.1355821887386\， -855.1390236268095)","(25.305185317993164\， -20.49759864807129)"
"1939","[0.26123830676078796\， 0.3962826728820801\， 0.2829355001449585\， 0.39042627811431885]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1939-0.json","The Commissar","(313.59663986034224\， -1170.6072900658348)","(-3.490190029144287\， 53.185997009277344)"
"1940","[0.25753942131996155\， 0.36255374550819397\， 0.29083800315856934\， 0.4013310372829437]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1940-1.json","The Commissar","(606.1893848553104\， -1050.090163652266)","(-3.4458107948303223\， 53.218902587890625)"
"1941","[0.31757882237434387\， 0.23557019233703613\， 0.374976247549057\， 0.5174344778060913]","1.0","[0.0\， 0.0\， 0.0]","faces/f1941-0.json","Zhanwu","(857.7633086325155\， -857.8750213788547)","(-31.5499267578125\， -29.999155044555664)"
"1942","[0.34815800189971924\， 0.37145310640335083\， 0.2241980880498886\， 0.30937376618385315]","1.0","[0.0\， 1.5707963705062866\， -0.5235987901687622]","faces/f1942-0.json","N/A","(1051.1003733438365\， -606.9071367234006)","(0.32466834783554077\， -6.211519241333008)"
"1943","[0.23599211871623993\， 0.6095914840698242\， 0.13141444325447083\， 0.18134045600891113]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1943-0.json","N/A","(1172.9301733294508\， -314.2759800254145)","(19.982770919799805\， -18.186092376708984)"
"1943","[0.6080618500709534\， 0.5624038577079773\， 0.1426251381635666\， 0.19681024551391602]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1943-1.json","Village Leader","(1173.0231907622895\， -314.287776932005)","(-32.35097885131836\， 43.35249710083008)"
"1944","[0.254239022731781\， 0.6634549498558044\， 0.13340845704078674\， 0.18409202992916107]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1944-0.json","Zhanwu","(1214.938559755683\， 0.040863737483011864)","(-20.850337982177734\， -15.316129684448242)"
