"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1045","[0.6255804896354675\， 0.4823482036590576\， 0.17540763318538666\， 0.23387683928012848]","1.0","[0.0\， 0.0\， 0.5235987901687622]","faces/f1045-0.json","Vashti","(-625.3530814309461\， -167.5756784005038)","(-4.172895908355713\， -59.61375045776367)"
"1046","[0.26256659626960754\， 0.4476481080055237\， 0.19031395018100739\， 0.2537519335746765]","1.0","[0.0\， 0.0\， 0.0]","faces/f1046-0.json","Pearl","(-561.3002999208907\， -324.0456966686445)","(32.500343322753906\， 13.704751968383789)"
"1049","[0.11030717194080353\， 0.08685554563999176\， 0.6559827327728271\， 0.8746436238288879]","1.0","[0.0\， 0.7853981852531433\， -3.1415927410125732]","faces/f1049-0.json","N/A","(-168.3101097702125\， -627.8815788451387)","(-0.7963531017303467\， -4.310654640197754)"
"1050","[0.3659237027168274\， 0.4708154797554016\， 0.18272067606449127\， 0.24362756311893463]","1.0","[0.0\， 0.0\， 0.0]","faces/f1050-0.json","Vashti","(-0.03351907434278692\， -650.5507743909307)","(-2.820486068725586\， -52.72762680053711)"
"1052","[0.2496262490749359\， 0.35405758023262024\， 0.2494780719280243\， 0.3326374292373657]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1052-0.json","N/A","(325.8287109100854\， -564.4967824802742)","(-25.355995178222656\， 14.622408866882324)"
"1067","[0.21665962040424347\， 0.4121640920639038\， 0.23356589674949646\， 0.3114212155342102]","1.0","[0.0\， 0.0\， 0.0]","faces/f1067-0.json","Pearl","(-638.6213006283209\， 171.077122589215)","(36.72420883178711\， 9.973088264465332)"
"1067","[0.596621572971344\， 0.5235601663589478\， 0.1788916289806366\， 0.23852217197418213]","1.0","[0.0\， 0.0\， 0.0]","faces/f1067-1.json","N/A","(-638.5263101401791\， 171.10497160778877)","(-7.359928607940674\， -2.5462186336517334)"
"1068","[0.5280851125717163\， 0.47466737031936646\， 0.21367090940475464\， 0.28489452600479126]","1.0","[0.0\， 0.0\， 0.0]","faces/f1068-0.json","N/A","(-661.6886308957701\， -0.006333157424700406)","(-25.199892044067383\， 15.359358787536621)"
"1068","[0.178514763712883\， 0.4194697439670563\， 0.22916623950004578\， 0.30555498600006104]","1.0","[0.0\， 0.0\， 0.0]","faces/f1068-1.json","Pearl","(-661.7760234829848\， -0.02013256401277795)","(42.62075424194336\， 0.3611277937889099)"
"1069","[0.5689899921417236\， 0.5284808874130249\， 0.1887553632259369\， 0.2516738176345825]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1069-0.json","N/A","(-639.7301261244912\， -171.4126719002061)","(-24.886512756347656\， 15.36728572845459)"
