"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1159","[0.26653528213500977\， 0.06285132467746735\， 0.36058661341667175\， 0.6650589108467102]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1159-0.json","Vicki","(-185.9101333165019\， 693.4989504630701)","(52.40548324584961\， -5.07698917388916)"
"1160","[0.4096263349056244\， 0.06811383366584778\， 0.2945091128349304\， 0.5431868433952332]","1.0","[0.0\， 0.0\， 0.0]","faces/f1160-0.json","Vicki","(-359.3704195032301\， 622.3007208304499)","(52.511505126953125\， -5.078681945800781)"
"1161","[0.38490819931030273\， 0.17247912287712097\， 0.2991929054260254\， 0.5518255233764648]","1.0","[0.0\， 0.0\， 0.0]","faces/f1161-0.json","Vicki","(-508.6614409782148\， 508.55078780881075)","(52.44371032714844\， -5.381928443908691)"
"1162","[0.3501085340976715\， 0.24344342947006226\， 0.2742975354194641\， 0.5059090256690979]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1162-0.json","Jeff","(-623.5192836736395\， 359.90325216170464)","(-44.68425369262695\， -17.611312866210938)"
"1163","[0.35301661491394043\， 0.19932633638381958\， 0.28705039620399475\， 0.529430091381073]","1.0","[0.0\， 0.0\， 0.0]","faces/f1163-0.json","Jeff","(-696.0387996563594\， 186.41801983293504)","(-44.620933532714844\， -17.574962615966797)"
"1164","[0.4389920234680176\， 0.29234349727630615\， 0.27409446239471436\， 0.5055344700813293]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1164-0.json","N/A","(-721.1891650376112\， -0.05191412566467021)","(0.015834614634513855\， 4.458330154418945)"
"1165","[0.6759024858474731\， 0.562529444694519\， 0.16842049360275269\， 0.3106314539909363]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1165-0.json","N/A","(-697.1549862777317\， -186.79826644352195)","(-7.3463640213012695\， -9.354436874389648)"
"1165","[0.3574539124965668\， 0.24718785285949707\， 0.23669517040252686\， 0.4365559220314026]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1165-1.json","Vicki","(-697.2345984210694\， -186.8771018414807)","(54.4644775390625\， -2.8795366287231445)"
"1166","[0.34180623292922974\， 0.22894670069217682\， 0.22769121825695038\， 0.4199492335319519]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1166-0.json","Vicki","(-625.6675961191758\， -361.27428506395404)","(56.211219787597656\， -3.3186309337615967)"
"1166","[0.6438655257225037\， 0.5243143439292908\， 0.18998825550079346\， 0.3504106104373932]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1166-1.json","Jeff","(-625.5920812959774\， -361.20044315314476)","(-27.85184669494629\， -13.723262786865234)"
"1167","[0.63064044713974\， 0.4949852228164673\， 0.19209787249565125\， 0.3543015420436859]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1167-0.json","Jeff","(-511.22860051590857\， -511.2625143219926)","(-27.853607177734375\， -15.222620010375977)"
"1167","[0.3407325744628906\， 0.22120711207389832\， 0.22942319512367249\， 0.4231436252593994]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1167-1.json","Vicki","(-511.3010774840778\， -511.33095884967827)","(55.996849060058594\， -3.386284351348877)"
"1168","[0.635515034198761\， 0.49759671092033386\， 0.19804854691028595\， 0.36527684330940247]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1168-0.json","Jeff","(-361.79220819800037\， -626.701766934784)","(-27.408573150634766\， -15.803468704223633)"
"1168","[0.2919948697090149\， 0.142033189535141\， 0.23839600384235382\， 0.4396929144859314]","1.0","[0.0\， 0.0\， 0.0]","faces/f1168-1.json","Vicki","(-361.8780882391228\， -626.7906578151303)","(40.44751739501953\， -2.5394508838653564)"
"1169","[0.655788779258728\， 0.5211531519889832\， 0.18940338492393494\， 0.34933188557624817]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1169-0.json","Jeff","(-187.4163727216522\， -699.5874897893923)","(-27.35685157775879\， -14.838846206665039)"
"1169","[0.3024296164512634\， 0.15028564631938934\， 0.24016547203063965\， 0.44295647740364075]","1.0","[0.0\， 0.0\， 0.0]","faces/f1169-1.json","Vicki","(-187.50471251235408\， -699.6802066658097)","(40.315101623535156\， -2.7927286624908447)"
"1170","[0.35155409574508667\， 0.15202228724956512\， 0.2464856207370758\， 0.45461323857307434]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1170-0.json","Vicki","(-0.03711147608397275\， -724.9782987760136)","(56.32445526123047\， -1.5564382076263428)"
"1170","[0.6528949737548828\， 0.5184407234191895\， 0.19358888268470764\， 0.3570515215396881]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1170-1.json","Jeff","(0.038223743418476286\， -724.8866941669712)","(-27.619829177856445\， -14.443559646606445)"
"1171","[0.33737459778785706\， 0.17506982386112213\， 0.2388545721769333\， 0.4405387043952942]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1171-0.json","Vicki","(187.73537412180247\， -700.8709187105214)","(49.1368293762207\， -3.949252128601074)"
"1171","[0.6677294969558716\， 0.5223693251609802\， 0.1965576708316803\， 0.36252713203430176]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1171-1.json","Jeff","(187.81796284659447\， -700.7840938351965)","(-26.78118896484375\， -15.174301147460938)"
"1172","[0.33637291193008423\， 0.18561142683029175\， 0.23447296023368835\， 0.4324573576450348]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1172-0.json","Vicki","(363.0243106192801\， -628.926000126075)","(56.33030319213867\， -1.6928915977478027)"
"1172","[0.63543301820755\， 0.5156615376472473\， 0.19501718878746033\， 0.35968586802482605]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1172-1.json","Jeff","(363.09907564584944\， -628.8434875983708)","(-28.11829376220703\， -15.137985229492188)"
"1173","[0.6429479122161865\， 0.5334143042564392\， 0.1936538964509964\， 0.3571714460849762]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1173-0.json","Jeff","(513.9255902053764\， -513.8814996512605)","(-27.441362380981445\， -14.068483352661133)"
"1173","[0.3275200426578522\， 0.21857850253582\， 0.23089858889579773\， 0.4258648455142975]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1173-1.json","Vicki","(513.8467332379868\， -513.9602086016906)","(56.719139099121094\， -2.858272075653076)"
"1174","[0.3205813467502594\， 0.2103695124387741\， 0.2342885285615921\， 0.43211716413497925]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1174-0.json","Vicki","(629.8756667545927\， -363.75719023058195)","(54.09402084350586\， -2.388188362121582)"
"1174","[0.6350306868553162\， 0.5239555835723877\， 0.1996026635169983\， 0.368143230676651]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1174-1.json","Jeff","(629.9542790896189\， -363.67879371279855)","(-27.118465423583984\， -16.665756225585938)"
"1175","[0.3208858072757721\， 0.19963069260120392\， 0.23269104957580566\， 0.4291708171367645]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1175-0.json","Vicki","(703.1387237964888\， -188.49254391102403)","(57.17803192138672\， -2.787510395050049)"
"1175","[0.6433960199356079\， 0.5255085229873657\， 0.19611236453056335\， 0.3617057800292969]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1175-1.json","Jeff","(703.2193513496537\， -188.4110744534275)","(-27.350553512573242\， -16.441558837890625)"
"1176","[0.636388897895813\， 0.5211682319641113\， 0.203311488032341\， 0.3749837279319763]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1176-0.json","Jeff","(728.6427928766478\， 0.005292058008168787)","(-27.792858123779297\， -16.168323516845703)"
"1176","[0.2607947885990143\， 0.139196515083313\， 0.238958477973938\， 0.44073033332824707]","1.0","[0.0\， 0.0\， 0.0]","faces/f1176-1.json","Vicki","(728.5488943493236\， -0.0902008712120308)","(40.06431579589844\， -2.7896978855133057)"
"1177","[0.24700036644935608\， 0.14149129390716553\， 0.2407577484846115\， 0.4440488815307617]","1.0","[0.0\， 0.0\， 0.0]","faces/f1177-0.json","Vicki","(704.317160525392\， 188.64853496349212)","(40.50677490234375\， -2.956641912460327)"
"1177","[0.6210931539535522\， 0.5168681144714355\， 0.1962854415178299\， 0.36202502250671387]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1177-1.json","Jeff","(704.410683722268\， 188.7423791686332)","(-26.723169326782227\， -15.984832763671875)"
"1178","[0.6312403082847595\， 0.45680609345436096\， 0.22104933857917786\， 0.4076990485191345]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1178-0.json","Jeff","(632.0995683652284\， 364.9131145668316)","(-26.971956253051758\， -16.656097412109375)"
"1179","[0.4009447991847992\， 0.2966266870498657\， 0.2554590702056885\， 0.47116369009017944]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1179-0.json","Jeff","(516.4936820267518\， 516.4676024987101)","(-40.690399169921875\， -12.1171293258667)"
"1180","[0.36796408891677856\， 0.3405260741710663\， 0.22328300774097443\， 0.41181880235671997]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1180-0.json","Jeff","(365.51046928309813\， 633.1000082418186)","(-40.73799514770508\， -11.995932579040527)"
"1181","[0.36086505651474\， 0.3248823881149292\， 0.24330830574035645\， 0.4487530589103699]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1181-0.json","Jeff","(189.3447995159305\， 706.7304472090002)","(-40.938201904296875\， -12.263432502746582)"
"1186","[0.4093788266181946\， 0.45722076296806335\， 0.20164641737937927\， 0.37191271781921387]","1.0","[0.0\， 0.0\， 0.0]","faces/f1186-0.json","Jeff","(-636.3818873219918\， 367.39147910378824)","(-46.50722885131836\， -4.929025650024414)"
"1187","[0.11570797115564346\， 0.5264428853988647\， 0.09589361399412155\， 0.17686431109905243]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1187-0.json","N/A","(-710.4610238864735\， 190.34832564081907)","(18.462078094482422\， 8.141237258911133)"
"1188","[0.10816816240549088\， 0.5374040603637695\， 0.09160877019166946\， 0.16896142065525055]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1188-0.json","N/A","(-736.1414362202681\， 0.009351015081561526)","(18.30667495727539\， 7.846116542816162)"
"1189","[0.26405274868011475\， 0.5275338888168335\， 0.11699417978525162\， 0.21578176319599152]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1189-0.json","Vicki","(-711.6208457811957\， -190.6555420031307)","(54.24714660644531\， -4.768280506134033)"
"1190","[0.35776573419570923\， 0.5044413805007935\， 0.13185302913188934\， 0.24318714439868927]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1190-0.json","Vicki","(-638.5410274653574\， -368.6401940026837)","(52.890419006347656\， -4.493948459625244)"
"1191","[0.35377785563468933\， 0.49003344774246216\， 0.14149883389472961\， 0.26097768545150757]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1191-0.json","Vicki","(-521.8121865623091\， -521.778122664263)","(53.152591705322266\， -4.930452346801758)"
"1192","[0.5450672507286072\， 0.32606935501098633\， 0.24946296215057373\， 0.4601045846939087]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1192-0.json","Jeff","(-369.2496027525415\， -639.6220699952643)","(-46.76137161254883\， -5.027882099151611)"
"1193","[0.5418781638145447\， 0.3187963664531708\， 0.24630460143089294\， 0.4542793929576874]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1193-0.json","Jeff","(-191.29337704618325\， -714.00097605494)","(-43.17215347290039\， -18.20474624633789)"
"1194","[0.3189060688018799\， 0.1321791708469391\， 0.3230462670326233\， 0.5958202481269836]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1194-0.json","Vicki","(-0.045273482836139856\， -739.8528247725056)","(52.52304458618164\， -2.5054306983947754)"
"1195","[0.3254120945930481\， 0.14273038506507874\， 0.30307772755622864\， 0.5589905977249146]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1195-0.json","Vicki","(191.5809101666836\， -715.2419006393816)","(54.62136459350586\， -1.5846877098083496)"
"1196","[0.32312291860580444\， 0.14886078238487244\， 0.3131588101387024\， 0.5775839686393738]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1196-0.json","Vicki","(370.4557807296307\， -641.8126090086848)","(52.46708297729492\， -2.3172378540039062)"
"1197","[0.5373741388320923\， 0.33008864521980286\， 0.24813275039196014\， 0.45765119791030884]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1197-0.json","Jeff","(524.4135671605319\， -524.4467014645439)","(-42.6740608215332\， -18.639558792114258)"
"1198","[0.5413694381713867\， 0.33154886960983276\， 0.24696913361549377\， 0.45550501346588135]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1198-0.json","Jeff","(642.8082849989305\， -371.1616779999986)","(-42.90729904174805\， -18.35626792907715)"
"1199","[0.5476344227790833\， 0.3330846428871155\， 0.2456425130367279\， 0.45305824279785156]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1199-0.json","Jeff","(717.558308019539\， -192.30770709408267)","(-43.6281623840332\， -18.51739501953125)"
"1200","[0.5367838740348816\， 0.3310577869415283\， 0.24820804595947266\， 0.4577900469303131]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1200-0.json","Jeff","(743.4874568380739\， -0.042235553263157435)","(-43.47496032714844\， -19.103891372680664)"
"1201","[0.5397223234176636\， 0.3250768780708313\， 0.24877698719501495\， 0.45883938670158386]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1201-0.json","Jeff","(718.7532380838062\， 192.5429580301721)","(-43.03804397583008\， -18.94426727294922)"
"1202","[0.5333337187767029\， 0.324878990650177\， 0.2506899833679199\， 0.4623676836490631]","1.0","[0.0\， 0.0\， 0.0]","faces/f1202-0.json","Jeff","(644.9525129393286\， 372.31491539984876)","(-43.05590057373047\， -19.10255241394043)"
"1203","[0.6413159966468811\， 0.40515875816345215\， 0.22832627594470978\， 0.4211204946041107]","1.0","[0.0\， -1.5707963705062866\， 2.6179940700531006]","faces/f1203-0.json","N/A","(527.0681452246417\， 527.0091059149902)","(-5.7487263679504395\， -7.066740989685059)"
