,Timeline,Identity,Value,Role,Title
100,3,Vicki,0.3950617283950617,Love,Human Desire
101,3,Jeff,0.012345679012345678,Protagonist,Human Desire
102,3,Keming,0.1076923076923077,Rival,Our Village
103,3,Shuzhen,0.4461538461538462,Love,Our Village
104,3,Zhanwu,0.4461538461538462,Protagonist,Our Village
105,3,Professor,0.46875,Rival,Cliff
106,3,Fang,0.359375,Protagonist,Cliff
107,3,Fan,0.171875,Love,Cliff
108,3,Jin,0.5,Protagonist,Waves of Life
109,3,Bo,0.24074074074074073,Rival,Waves of Life
110,3,Ye,0.25925925925925924,Love,Waves of Life
111,3,Suhua,0.927710843373494,Protagonist,Diary of Nurse
112,3,Haoru,0.07228915662650602,Rival,Diary of Nurse
113,3,Pearl,0.6564885496183206,Protagonist,Duel in the Sun
114,3,Lewt,0.2595419847328244,Love,Duel in the Sun
115,3,Jesse,0.08396946564885496,Rival,Duel in the Sun
116,3,Will,0.75,Protagonist,The Man from Laramie
117,3,Barbara,0.2,Love,The Man from Laramie
118,3,Vic,0.05,Rival,The Man from Laramie
119,3,Hitokiri,0.5319148936170213,Rival,Black River
120,3,Shizuko,0.425531914893617,Love,Black River
121,3,Nishida,0.0425531914893617,Protagonist,Black River
122,3,Alicia,0.5069444444444444,Protagonist,Notorious
123,3,Devlin,0.4930555555555556,Love,Notorious
124,3,Laurey,1.0,Love,Oklahoma
125,3,Haruji,0.30357142857142855,Protagonist,Kurutta Kajitsu
126,3,Eri,0.6071428571428571,Love,Kurutta Kajitsu
127,3,Natsuhisa,0.08928571428571429,Rival,Kurutta Kajitsu
128,3,Mohei,0.3225806451612903,Protagonist,Chikamatsu Story
129,3,Osan,0.5806451612903226,Love,Chikamatsu Story
130,3,Ishun,0.0967741935483871,Rival,Chikamatsu Story
131,3,Johnny,0.3769230769230769,Protagonist,Gilda
132,3,Ballin,0.13076923076923078,Rival,Gilda
133,3,Gilda,0.49230769230769234,Love,Gilda
134,3,Einar,0.43333333333333335,Rival,Vikings
135,3,Eric,0.5666666666666667,Protagonist,Vikings
136,3,Sabrina,0.5166666666666667,Protagonist,Sabrina
137,3,Linus,0.23333333333333334,Love,Sabrina
138,3,David,0.25,Rival,Sabrina
139,3,Changping,0.0,Love,Diary of Nurse
140,3,Alex,0.0,Rival,Notorious
141,3,Curly,0.0,Protagonist,Oklahoma
142,3,Jud,0.0,Rival,Oklahoma
143,3,Morgana,0.0,Love,Vikings
144,4,Moritoo,0.39759036144578314,Protagonist,Jigoku Mon
145,4,Kesa,0.5301204819277109,Love,Jigoku Mon
146,4,Wataru,0.07228915662650602,Rival,Jigoku Mon
147,4,Carl,0.11428571428571428,Rival,Human Desire
148,4,Vicki,0.49523809523809526,Love,Human Desire
149,4,Jeff,0.3904761904761905,Protagonist,Human Desire
150,4,Zhanwu,0.5584415584415584,Protagonist,Our Village
151,4,Shuzhen,0.38961038961038963,Love,Our Village
152,4,Keming,0.05194805194805195,Rival,Our Village
153,4,Fang,0.5576923076923077,Protagonist,Cliff
154,4,Professor,0.4423076923076923,Rival,Cliff
155,4,Bo,0.4567901234567901,Rival,Waves of Life
156,4,Jin,0.1728395061728395,Protagonist,Waves of Life
157,4,Ye,0.37037037037037035,Love,Waves of Life
158,4,Suhua,0.48863636363636365,Protagonist,Diary of Nurse
159,4,Changping,0.45454545454545453,Love,Diary of Nurse
160,4,Haoru,0.056818181818181816,Rival,Diary of Nurse
161,4,Pearl,0.5423728813559322,Protagonist,Duel in the Sun
162,4,Lewt,0.1016949152542373,Love,Duel in the Sun
163,4,Jesse,0.3559322033898305,Rival,Duel in the Sun
164,4,Will,0.7283950617283951,Protagonist,The Man from Laramie
165,4,Vic,0.2716049382716049,Rival,The Man from Laramie
166,4,Nishida,0.2222222222222222,Protagonist,Black River
167,4,Hitokiri,0.5277777777777778,Rival,Black River
168,4,Shizuko,0.25,Love,Black River
169,4,Alicia,0.5844155844155844,Protagonist,Notorious
170,4,Alex,0.3181818181818182,Rival,Notorious
171,4,Devlin,0.09740259740259741,Love,Notorious
172,4,Laurey,0.2084942084942085,Love,Oklahoma
173,4,Curly,0.4247104247104247,Protagonist,Oklahoma
174,4,Jud,0.3667953667953668,Rival,Oklahoma
175,4,Haruji,0.3695652173913043,Protagonist,Kurutta Kajitsu
176,4,Eri,0.30434782608695654,Love,Kurutta Kajitsu
177,4,Natsuhisa,0.32608695652173914,Rival,Kurutta Kajitsu
178,4,Mohei,0.32142857142857145,Protagonist,Chikamatsu Story
179,4,Osan,0.5714285714285714,Love,Chikamatsu Story
180,4,Ishun,0.10714285714285714,Rival,Chikamatsu Story
181,4,Ballin,0.25547445255474455,Rival,Gilda
182,4,Johnny,0.5693430656934306,Protagonist,Gilda
183,4,Gilda,0.17518248175182483,Love,Gilda
184,4,Morgana,0.3793103448275862,Love,Vikings
185,4,Einar,0.3793103448275862,Rival,Vikings
186,4,Eric,0.2413793103448276,Protagonist,Vikings
187,4,David,0.45454545454545453,Rival,Sabrina
188,4,Sabrina,0.46464646464646464,Protagonist,Sabrina
189,4,Linus,0.08080808080808081,Love,Sabrina
190,4,Fan,0.0,Love,Cliff
191,4,Barbara,0.0,Love,The Man from Laramie
192,5,Wataru,0.6111111111111112,Rival,Jigoku Mon
193,5,Kesa,0.16666666666666666,Love,Jigoku Mon
194,5,Moritoo,0.2222222222222222,Protagonist,Jigoku Mon
195,5,Jeff,0.5126582278481012,Protagonist,Human Desire
196,5,Carl,0.06329113924050633,Rival,Human Desire
197,5,Vicki,0.4240506329113924,Love,Human Desire
198,5,Shuzhen,0.5490196078431373,Love,Our Village
199,5,Zhanwu,0.38235294117647056,Protagonist,Our Village
200,5,Keming,0.06862745098039216,Rival,Our Village
201,5,Professor,0.23076923076923078,Rival,Cliff
202,5,Fang,0.7472527472527473,Protagonist,Cliff
203,5,Fan,0.02197802197802198,Love,Cliff
204,5,Bo,0.07954545454545454,Rival,Waves of Life
205,5,Jin,0.7613636363636364,Protagonist,Waves of Life
206,5,Ye,0.1590909090909091,Love,Waves of Life
207,5,Changping,0.2857142857142857,Love,Diary of Nurse
208,5,Suhua,0.6666666666666666,Protagonist,Diary of Nurse
209,5,Haoru,0.047619047619047616,Rival,Diary of Nurse
210,5,Pearl,0.6237113402061856,Protagonist,Duel in the Sun
211,5,Lewt,0.25257731958762886,Love,Duel in the Sun
212,5,Jesse,0.12371134020618557,Rival,Duel in the Sun
213,5,Will,0.6,Protagonist,The Man from Laramie
214,5,Barbara,0.21666666666666667,Love,The Man from Laramie
215,5,Vic,0.18333333333333332,Rival,The Man from Laramie
216,5,Nishida,0.33783783783783783,Protagonist,Black River
217,5,Hitokiri,0.22972972972972974,Rival,Black River
218,5,Shizuko,0.43243243243243246,Love,Black River
219,5,Alex,0.2191780821917808,Rival,Notorious
220,5,Devlin,0.3607305936073059,Love,Notorious
221,5,Alicia,0.4200913242009132,Protagonist,Notorious
222,5,Curly,0.34591194968553457,Protagonist,Oklahoma
223,5,Jud,0.27044025157232704,Rival,Oklahoma
224,5,Laurey,0.3836477987421384,Love,Oklahoma
225,5,Natsuhisa,0.46153846153846156,Rival,Kurutta Kajitsu
226,5,Eri,0.49230769230769234,Love,Kurutta Kajitsu
227,5,Haruji,0.046153846153846156,Protagonist,Kurutta Kajitsu
228,5,Ishun,0.45454545454545453,Rival,Chikamatsu Story
229,5,Mohei,0.5454545454545454,Protagonist,Chikamatsu Story
230,5,Johnny,0.3263157894736842,Protagonist,Gilda
231,5,Gilda,0.6526315789473685,Love,Gilda
232,5,Ballin,0.021052631578947368,Rival,Gilda
233,5,Morgana,0.47,Love,Vikings
234,5,Einar,0.41,Rival,Vikings
235,5,Eric,0.12,Protagonist,Vikings
236,5,Sabrina,0.5165562913907285,Protagonist,Sabrina
237,5,David,0.2781456953642384,Rival,Sabrina
238,5,Linus,0.2052980132450331,Love,Sabrina
239,5,Osan,0.0,Love,Chikamatsu Story
240,6,Moritoo,0.5357142857142857,Protagonist,Jigoku Mon
241,6,Wataru,0.375,Rival,Jigoku Mon
242,6,Kesa,0.08928571428571429,Love,Jigoku Mon
243,6,Vicki,0.5877862595419847,Love,Human Desire
244,6,Jeff,0.29770992366412213,Protagonist,Human Desire
245,6,Carl,0.11450381679389313,Rival,Human Desire
246,6,Shuzhen,0.34513274336283184,Love,Our Village
247,6,Zhanwu,0.4247787610619469,Protagonist,Our Village
248,6,Keming,0.23008849557522124,Rival,Our Village
249,6,Fang,0.7522123893805309,Protagonist,Cliff
250,6,Professor,0.24778761061946902,Rival,Cliff
251,6,Jin,0.8108108108108109,Protagonist,Waves of Life
252,6,Ye,0.13513513513513514,Love,Waves of Life
253,6,Bo,0.05405405405405406,Rival,Waves of Life
254,6,Suhua,0.9206349206349206,Protagonist,Diary of Nurse
255,6,Changping,0.06349206349206349,Love,Diary of Nurse
256,6,Haoru,0.015873015873015872,Rival,Diary of Nurse
257,6,Pearl,0.7007874015748031,Protagonist,Duel in the Sun
258,6,Lewt,0.1889763779527559,Love,Duel in the Sun
259,6,Jesse,0.11023622047244094,Rival,Duel in the Sun
260,6,Vic,0.868421052631579,Rival,The Man from Laramie
261,6,Will,0.13157894736842105,Protagonist,The Man from Laramie
262,6,Nishida,0.7272727272727273,Protagonist,Black River
263,6,Hitokiri,0.06060606060606061,Rival,Black River
264,6,Shizuko,0.21212121212121213,Love,Black River
265,6,Alicia,0.5671641791044776,Protagonist,Notorious
266,6,Alex,0.07462686567164178,Rival,Notorious
267,6,Devlin,0.3582089552238806,Love,Notorious
268,6,Jud,0.5319148936170213,Rival,Oklahoma
269,6,Laurey,0.44680851063829785,Love,Oklahoma
270,6,Curly,0.02127659574468085,Protagonist,Oklahoma
271,6,Eri,0.37662337662337664,Love,Kurutta Kajitsu
272,6,Natsuhisa,0.2597402597402597,Rival,Kurutta Kajitsu
273,6,Haruji,0.36363636363636365,Protagonist,Kurutta Kajitsu
274,6,Osan,0.45,Love,Chikamatsu Story
275,6,Mohei,0.525,Protagonist,Chikamatsu Story
276,6,Ishun,0.025,Rival,Chikamatsu Story
277,6,Johnny,0.36153846153846153,Protagonist,Gilda
278,6,Ballin,0.3076923076923077,Rival,Gilda
279,6,Gilda,0.33076923076923076,Love,Gilda
280,6,Morgana,0.5476190476190477,Love,Vikings
281,6,Eric,0.4365079365079365,Protagonist,Vikings
282,6,Einar,0.015873015873015872,Rival,Vikings
283,6,David,0.08888888888888889,Rival,Sabrina
284,6,Linus,0.6666666666666666,Love,Sabrina
285,6,Sabrina,0.24444444444444444,Protagonist,Sabrina
286,6,Fan,0.0,Love,Cliff
287,6,Barbara,0.0,Love,The Man from Laramie
288,7,Moritoo,0.13095238095238096,Protagonist,Jigoku Mon
289,7,Kesa,0.8333333333333334,Love,Jigoku Mon
290,7,Wataru,0.03571428571428571,Rival,Jigoku Mon
291,7,Jeff,0.7843137254901961,Protagonist,Human Desire
292,7,Vicki,0.21568627450980393,Love,Human Desire
293,7,Keming,0.32432432432432434,Rival,Our Village
294,7,Zhanwu,0.4864864864864865,Protagonist,Our Village
295,7,Shuzhen,0.1891891891891892,Love,Our Village
296,7,Fang,0.5217391304347826,Protagonist,Cliff
297,7,Professor,0.42028985507246375,Rival,Cliff
298,7,Fan,0.057971014492753624,Love,Cliff
299,7,Jin,0.9295774647887324,Protagonist,Waves of Life
300,7,Ye,0.07042253521126761,Love,Waves of Life
301,7,Suhua,0.6428571428571429,Protagonist,Diary of Nurse
302,7,Changping,0.12857142857142856,Love,Diary of Nurse
303,7,Haoru,0.22857142857142856,Rival,Diary of Nurse
304,7,Lewt,0.34545454545454546,Love,Duel in the Sun
305,7,Pearl,0.6545454545454545,Protagonist,Duel in the Sun
306,7,Vic,0.11764705882352941,Rival,The Man from Laramie
307,7,Will,0.43137254901960786,Protagonist,The Man from Laramie
308,7,Barbara,0.45098039215686275,Love,The Man from Laramie
309,7,Nishida,0.39416058394160586,Protagonist,Black River
310,7,Shizuko,0.5766423357664233,Love,Black River
311,7,Hitokiri,0.029197080291970802,Rival,Black River
312,7,Devlin,0.1834862385321101,Love,Notorious
313,7,Alicia,0.27522935779816515,Protagonist,Notorious
314,7,Alex,0.5412844036697247,Rival,Notorious
315,7,Curly,0.4,Protagonist,Oklahoma
316,7,Laurey,0.17777777777777778,Love,Oklahoma
317,7,Jud,0.4222222222222222,Rival,Oklahoma
318,7,Haruji,0.41379310344827586,Protagonist,Kurutta Kajitsu
319,7,Eri,0.4482758620689655,Love,Kurutta Kajitsu
320,7,Natsuhisa,0.13793103448275862,Rival,Kurutta Kajitsu
321,7,Mohei,0.7,Protagonist,Chikamatsu Story
322,7,Osan,0.1,Love,Chikamatsu Story
323,7,Ishun,0.2,Rival,Chikamatsu Story
324,7,Johnny,0.5806451612903226,Protagonist,Gilda
325,7,Gilda,0.4129032258064516,Love,Gilda
326,7,Ballin,0.0064516129032258064,Rival,Gilda
327,7,Einar,0.7931034482758621,Rival,Vikings
328,7,Eric,0.20689655172413793,Protagonist,Vikings
329,7,Sabrina,0.5316455696202531,Protagonist,Sabrina
330,7,Linus,0.37341772151898733,Love,Sabrina
331,7,David,0.0949367088607595,Rival,Sabrina
332,7,Carl,0.0,Rival,Human Desire
333,7,Bo,0.0,Rival,Waves of Life
334,7,Jesse,0.0,Rival,Duel in the Sun
335,7,Morgana,0.0,Love,Vikings
336,8,Wataru,0.11940298507462686,Rival,Jigoku Mon
337,8,Kesa,0.6865671641791045,Love,Jigoku Mon
338,8,Moritoo,0.19402985074626866,Protagonist,Jigoku Mon
339,8,Jeff,0.631578947368421,Protagonist,Human Desire
340,8,Carl,0.05263157894736842,Rival,Human Desire
341,8,Vicki,0.3157894736842105,Love,Human Desire
342,8,Shuzhen,0.038461538461538464,Love,Our Village
343,8,Zhanwu,0.6538461538461539,Protagonist,Our Village
344,8,Keming,0.3076923076923077,Rival,Our Village
345,8,Professor,0.023809523809523808,Rival,Cliff
346,8,Fang,0.9523809523809523,Protagonist,Cliff
347,8,Fan,0.023809523809523808,Love,Cliff
348,8,Jin,0.9827586206896551,Protagonist,Waves of Life
349,8,Bo,0.017241379310344827,Rival,Waves of Life
350,8,Haoru,0.41964285714285715,Rival,Diary of Nurse
351,8,Suhua,0.5803571428571429,Protagonist,Diary of Nurse
352,8,Jesse,0.5769230769230769,Rival,Duel in the Sun
353,8,Pearl,0.38461538461538464,Protagonist,Duel in the Sun
354,8,Lewt,0.038461538461538464,Love,Duel in the Sun
355,8,Will,0.1111111111111111,Protagonist,The Man from Laramie
356,8,Vic,0.6349206349206349,Rival,The Man from Laramie
357,8,Barbara,0.25396825396825395,Love,The Man from Laramie
358,8,Nishida,0.6415094339622641,Protagonist,Black River
359,8,Shizuko,0.1320754716981132,Love,Black River
360,8,Hitokiri,0.22641509433962265,Rival,Black River
361,8,Alex,0.16770186335403728,Rival,Notorious
362,8,Alicia,0.7142857142857143,Protagonist,Notorious
363,8,Devlin,0.11801242236024845,Love,Notorious
364,8,Laurey,0.3253012048192771,Love,Oklahoma
365,8,Jud,0.2289156626506024,Rival,Oklahoma
366,8,Curly,0.4457831325301205,Protagonist,Oklahoma
367,8,Natsuhisa,0.21621621621621623,Rival,Kurutta Kajitsu
368,8,Haruji,0.6756756756756757,Protagonist,Kurutta Kajitsu
369,8,Eri,0.10810810810810811,Love,Kurutta Kajitsu
370,8,Ishun,0.37037037037037035,Rival,Chikamatsu Story
371,8,Mohei,0.4444444444444444,Protagonist,Chikamatsu Story
372,8,Osan,0.18518518518518517,Love,Chikamatsu Story
373,8,Johnny,0.1984732824427481,Protagonist,Gilda
374,8,Gilda,0.8015267175572519,Love,Gilda
375,8,Einar,0.625,Rival,Vikings
376,8,Eric,0.375,Protagonist,Vikings
377,8,Linus,0.4339622641509434,Love,Sabrina
378,8,Sabrina,0.5660377358490566,Protagonist,Sabrina
379,8,Ye,0.0,Love,Waves of Life
380,8,Changping,0.0,Love,Diary of Nurse
381,8,Ballin,0.0,Rival,Gilda
382,8,Morgana,0.0,Love,Vikings
383,8,David,0.0,Rival,Sabrina
384,9,Moritoo,0.6767676767676768,Protagonist,Jigoku Mon
385,9,Kesa,0.010101010101010102,Love,Jigoku Mon
386,9,Wataru,0.31313131313131315,Rival,Jigoku Mon
387,9,Vicki,0.45454545454545453,Love,Human Desire
388,9,Jeff,0.3515151515151515,Protagonist,Human Desire
389,9,Carl,0.19393939393939394,Rival,Human Desire
390,9,Keming,0.2982456140350877,Rival,Our Village
391,9,Shuzhen,0.40350877192982454,Love,Our Village
392,9,Zhanwu,0.2982456140350877,Protagonist,Our Village
393,9,Fan,0.39215686274509803,Love,Cliff
394,9,Fang,0.6078431372549019,Protagonist,Cliff
