,Timeline,Identity,Value,Role,Title
125,3,Haruji,17,Protagonist,Kurutta Kajitsu
126,3,Eri,34,Love,Kurutta Kajitsu
127,3,Natsuhisa,5,Rival,Kurutta Kajitsu
128,3,Mohei,10,Protagonist,Chikamatsu Story
129,3,Osan,18,Love,Chikamatsu Story
130,3,Ishun,3,Rival,Chikamatsu Story
131,3,Johnny,98,Protagonist,Gilda
132,3,Ballin,34,Rival,Gilda
133,3,Gilda,128,Love,Gilda
134,3,Einar,26,Rival,Vikings
135,3,Eric,34,Protagonist,Vikings
136,3,Sabrina,62,Protagonist,Sabrina
137,3,Linus,28,Love,Sabrina
138,3,David,30,Rival,Sabrina
139,3,Changping,0,Love,Diary of Nurse
140,3,Alex,0,Rival,Notorious
141,3,Curly,0,Protagonist,Oklahoma
142,3,Jud,0,Rival,Oklahoma
143,3,Morgana,0,Love,Vikings
144,4,Moritoo,33,Protagonist,Jigoku Mon
145,4,Kesa,44,Love,Jigoku Mon
146,4,Wataru,6,Rival,Jigoku Mon
147,4,Carl,12,Rival,Human Desire
148,4,Vicki,52,Love,Human Desire
149,4,Jeff,41,Protagonist,Human Desire
150,4,Zhanwu,43,Protagonist,Our Village
151,4,Shuzhen,30,Love,Our Village
152,4,Keming,4,Rival,Our Village
153,4,Fang,58,Protagonist,Cliff
154,4,Professor,46,Rival,Cliff
155,4,Bo,37,Rival,Waves of Life
156,4,Jin,14,Protagonist,Waves of Life
157,4,Ye,30,Love,Waves of Life
158,4,Suhua,43,Protagonist,Diary of Nurse
159,4,Changping,40,Love,Diary of Nurse
160,4,Haoru,5,Rival,Diary of Nurse
161,4,Pearl,32,Protagonist,Duel in the Sun
162,4,Lewt,6,Love,Duel in the Sun
163,4,Jesse,21,Rival,Duel in the Sun
164,4,Will,59,Protagonist,The Man from Laramie
165,4,Vic,22,Rival,The Man from Laramie
166,4,Nishida,8,Protagonist,Black River
167,4,Hitokiri,19,Rival,Black River
168,4,Shizuko,9,Love,Black River
169,4,Alicia,90,Protagonist,Notorious
170,4,Alex,49,Rival,Notorious
171,4,Devlin,15,Love,Notorious
172,4,Laurey,54,Love,Oklahoma
173,4,Curly,110,Protagonist,Oklahoma
174,4,Jud,95,Rival,Oklahoma
175,4,Haruji,17,Protagonist,Kurutta Kajitsu
176,4,Eri,14,Love,Kurutta Kajitsu
177,4,Natsuhisa,15,Rival,Kurutta Kajitsu
178,4,Mohei,9,Protagonist,Chikamatsu Story
179,4,Osan,16,Love,Chikamatsu Story
180,4,Ishun,3,Rival,Chikamatsu Story
181,4,Ballin,35,Rival,Gilda
