,Timeline,Identity,Value,Role,Title
91,3,Zhanwu,0.004038390600892782,Protagonist,Our Village
92,3,Professor Yuan,0.0020516724700595504,Rival,Cliff
93,3,Fang Qing,0.003937065650456189,Protagonist,Cliff
94,3,Fan Jun,0.0014624404896716565,Love,Cliff
95,3,Jin Zhang,0.0015299225016710144,Protagonist,Waves of Life
96,3,Bo Kang,0.0016583063346374027,Rival,Waves of Life
97,3,Ye Suping,0.00183431269207206,Love,Waves of Life
98,3,Suhua,0.002191609120528555,Protagonist,Diary of Nurse
99,3,Haoru,0.0023704793204636205,Rival,Diary of Nurse
100,3,Pearl,0.0033988538536086103,Protagonist,Duel in the Sun
101,3,Lewt,0.002756032744783171,Love,Duel in the Sun
102,3,Jesse,0.0016669182715547417,Rival,Duel in the Sun
103,3,Will,0.0018556330921447712,Protagonist,The Man from Laramie
104,3,Barbara,0.0021292802263677066,Love,The Man from Laramie
105,3,Vic,0.0020410893236400642,Rival,The Man from Laramie
106,3,Hitokiri Joe,0.0030247883154484252,Rival,Black River
107,3,Shizuko,0.005751450676210723,Love,Black River
108,3,Nishida,0.0026002662562594203,Protagonist,Black River
109,3,Alicia,0.004470330367049201,Protagonist,Notorious
110,3,Devlin,0.0045450222341775,Love,Notorious
111,3,Laurey,0.001364752884690093,Love,Oklahoma
112,3,Haruji,0.003079635808810847,Protagonist,Kurutta Kajitsu
113,3,Eri,0.002270119952175084,Love,Kurutta Kajitsu
114,3,Natsuhisa,0.002415480221113456,Rival,Kurutta Kajitsu
115,3,Mohei,0.0020081587389293347,Protagonist,Chikamatsu Story
116,3,Osan,0.0012170707578110218,Love,Chikamatsu Story
117,3,Ishun,0.0010214790397239288,Rival,Chikamatsu Story
118,3,Johnny,0.002217317138871372,Protagonist,Gilda
119,3,Ballin,0.0030255063070638013,Rival,Gilda
120,3,Gilda,0.003092644666114157,Love,Gilda
121,3,Einar,0.0016990467873724583,Rival,Vikings
122,3,Eric,0.002269304243197177,Protagonist,Vikings
123,3,Sabrina,0.003723793738176838,Protagonist,Sabrina
124,3,Linus,0.0014063375245146642,Love,Sabrina
125,3,David,0.0029043075235163853,Rival,Sabrina
126,4,Moritoo,0.0015172049674074034,Protagonist,Jigoku Mon
127,4,Kesa,0.0018470360129368626,Love,Jigoku Mon
128,4,Wataru,0.0017010852056653508,Rival,Jigoku Mon
129,4,Carl,0.004045961491266286,Rival,Human Desire
130,4,Vicki,0.002491137390810927,Love,Human Desire
131,4,Jeff,0.0024134714365952287,Protagonist,Human Desire
132,4,Zhanwu,0.005203047491916739,Protagonist,Our Village
133,4,Shuzhen,0.003257802995219308,Love,Our Village
134,4,Keming,0.0030085476018810973,Rival,Our Village
135,4,Fang Qing,0.0031190277974014508,Protagonist,Cliff
136,4,Professor Yuan,0.0018158803734582463,Rival,Cliff
137,4,Bo Kang,0.0019724104669224625,Rival,Waves of Life
138,4,Jin Zhang,0.0023415697091074303,Protagonist,Waves of Life
139,4,Ye Suping,0.0014686911196541822,Love,Waves of Life
140,4,Suhua,0.0020771324835676193,Protagonist,Diary of Nurse
141,4,Changping,0.0016541844724891675,Love,Diary of Nurse
142,4,Haoru,0.0019933416298868216,Rival,Diary of Nurse
143,4,Pearl,0.001927836391368818,Protagonist,Duel in the Sun
144,4,Lewt,0.000882972042807117,Love,Duel in the Sun
145,4,Jesse,0.0032613354442052383,Rival,Duel in the Sun
146,4,Will,0.0011150488213070115,Protagonist,The Man from Laramie
147,4,Vic,0.002113112174211513,Rival,The Man from Laramie
148,4,Nishida,0.0030393114376219754,Protagonist,Black River
149,4,Hitokiri Joe,0.006127722135005261,Rival,Black River
150,4,Shizuko,0.005250113856334072,Love,Black River
151,4,Alicia,0.006288751822211526,Protagonist,Notorious
152,4,Alex Sebastian,0.004452704139194597,Rival,Notorious
153,4,Devlin,0.003778837352351073,Love,Notorious
154,4,Laurey,0.0010595155649158747,Love,Oklahoma
155,4,Curly,0.000874257881759529,Protagonist,Oklahoma
156,4,Jud,0.0009616960936725678,Rival,Oklahoma
157,4,Haruji,0.0016534583134836902,Protagonist,Kurutta Kajitsu
158,4,Eri,0.001361424786084903,Love,Kurutta Kajitsu
159,4,Natsuhisa,0.002330194927177329,Rival,Kurutta Kajitsu
160,4,Mohei,0.0008170041091797147,Protagonist,Chikamatsu Story
161,4,Osan,0.0007899807154417438,Love,Chikamatsu Story
162,4,Ishun,0.0014212758827316513,Rival,Chikamatsu Story
163,4,Ballin,0.0019262268891036478,Rival,Gilda
164,4,Johnny,0.0018080922810568905,Protagonist,Gilda
165,4,Gilda,0.0025574797077830623,Love,Gilda
166,4,Morgana,0.001827965971998985,Love,Vikings
167,4,Einar,0.0016527294947053005,Rival,Vikings
168,4,Eric,0.0009982726968411943,Protagonist,Vikings
169,4,David,0.004342375407520151,Rival,Sabrina
170,4,Sabrina,0.0037348668215965446,Protagonist,Sabrina
171,4,Linus,0.0016070594750316382,Love,Sabrina
172,5,Wataru,0.0011514261695160823,Rival,Jigoku Mon
173,5,Kesa,0.004581777770125139,Love,Jigoku Mon
174,5,Moritoo,0.002292861130640351,Protagonist,Jigoku Mon
