,TimeNormalized,Identity,Value,Role,Title
0,0.46536494653649463,Wataru,0.03830641836401938,Rival,Jigoku Mon
1,0.46582984658298465,Wataru,0.03786329728058835,Rival,Jigoku Mon
2,0.4662947466294747,Wataru,0.038177596029331795,Rival,Jigoku Mon
3,0.46675964667596465,Wataru,0.035067050558828194,Rival,Jigoku Mon
4,0.46722454672245467,Wataru,0.03806354271637802,Rival,Jigoku Mon
5,0.47373314737331473,Wataru,0.016546381590567316,Rival,Jigoku Mon
6,0.47419804741980476,Wataru,0.016143401983392813,Rival,Jigoku Mon
7,0.4746629474662947,Wataru,0.016050314642717334,Rival,Jigoku Mon
8,0.4839609483960948,Wataru,0.01585204080080249,Rival,Jigoku Mon
9,0.48442584844258485,Wataru,0.016877965043875287,Rival,Jigoku Mon
10,0.4848907484890749,Wataru,0.01579742128337558,Rival,Jigoku Mon
11,0.48535564853556484,Wataru,0.015148338004621564,Rival,Jigoku Mon
12,0.48582054858205487,Wataru,0.015003824735829119,Rival,Jigoku Mon
13,0.48628544862854484,Wataru,0.014115553614169052,Rival,Jigoku Mon
14,0.48675034867503486,Wataru,0.018730614215659358,Rival,Jigoku Mon
15,0.4872152487215249,Wataru,0.014434414754074476,Rival,Jigoku Mon
16,0.48768014876801485,Wataru,0.01920080540367053,Rival,Jigoku Mon
17,0.4881450488145049,Wataru,0.018529666283942703,Rival,Jigoku Mon
18,0.4886099488609949,Kesa,0.1341416009277987,Love,Jigoku Mon
19,0.48907484890748487,Kesa,0.13681136193213206,Love,Jigoku Mon
20,0.4895397489539749,Kesa,0.14607326546248434,Love,Jigoku Mon
21,0.4900046490004649,Wataru,0.052782477730207944,Rival,Jigoku Mon
22,0.4904695490469549,Wataru,0.054353970885703484,Rival,Jigoku Mon
23,0.4909344490934449,Wataru,0.012371080516228317,Rival,Jigoku Mon
24,0.49139934913993494,Wataru,0.012978159258338062,Rival,Jigoku Mon
25,0.4918642491864249,Wataru,0.012128808274126934,Rival,Jigoku Mon
26,0.49232914923291493,Wataru,0.011757891770636242,Rival,Jigoku Mon
27,0.49279404927940496,Wataru,0.011978351147923727,Rival,Jigoku Mon
28,0.49465364946536494,Wataru,0.010717019464597188,Rival,Jigoku Mon
29,0.49511854951185497,Wataru,0.011183638089612424,Rival,Jigoku Mon
30,0.5132496513249651,Moritoo,0.07038538969202168,Protagonist,Jigoku Mon
31,0.5137145513714552,Wataru,0.0830084470536896,Rival,Jigoku Mon
32,0.5141794514179452,Wataru,0.05596748032744259,Rival,Jigoku Mon
33,0.5188284518828452,Moritoo,0.01769108532113095,Protagonist,Jigoku Mon
34,0.5192933519293352,Moritoo,0.016045821932051618,Protagonist,Jigoku Mon
35,0.5248721524872152,Wataru,0.03799608492005646,Rival,Jigoku Mon
36,0.5253370525337052,Moritoo,0.05051715624935427,Protagonist,Jigoku Mon
37,0.5258019525801952,Moritoo,0.020083053961471364,Protagonist,Jigoku Mon
38,0.5318456531845653,Kesa,0.01646338596970054,Love,Jigoku Mon
39,0.5323105532310554,Kesa,0.014313840171622572,Love,Jigoku Mon
40,0.5327754532775453,Moritoo,0.07946037866987865,Protagonist,Jigoku Mon
41,0.5332403533240353,Moritoo,0.08568748756091793,Protagonist,Jigoku Mon
42,0.5337052533705253,Kesa,0.14695689101878262,Love,Jigoku Mon
43,0.5341701534170153,Kesa,0.15759001088455538,Love,Jigoku Mon
44,0.5374244537424454,Moritoo,0.016304831829646815,Protagonist,Jigoku Mon
45,0.5374244537424454,Wataru,0.033659834161356095,Rival,Jigoku Mon
46,0.5378893537889354,Moritoo,0.023235576600711738,Protagonist,Jigoku Mon
47,0.5378893537889354,Wataru,0.01715520998352904,Rival,Jigoku Mon
48,0.5448628544862855,Kesa,0.09214246076680865,Love,Jigoku Mon
49,0.5453277545327755,Kesa,0.0614682604234682,Love,Jigoku Mon
50,0.5564853556485355,Moritoo,0.033235230100416624,Protagonist,Jigoku Mon
51,0.5569502556950255,Moritoo,0.05005414514039708,Protagonist,Jigoku Mon
52,0.5574151557415156,Moritoo,0.028897330679544808,Protagonist,Jigoku Mon
53,0.5578800557880056,Moritoo,0.03409535429757171,Protagonist,Jigoku Mon
54,0.5583449558344956,Moritoo,0.036920126648320784,Protagonist,Jigoku Mon
55,0.5625290562529056,Moritoo,0.016284965721781397,Protagonist,Jigoku Mon
56,0.5629939562993956,Moritoo,0.02684621520855779,Protagonist,Jigoku Mon
57,0.5634588563458857,Moritoo,0.027317281164755736,Protagonist,Jigoku Mon
58,0.5639237563923757,Wataru,0.022026565269355425,Rival,Jigoku Mon
59,0.5643886564388656,Wataru,0.01781095514755382,Rival,Jigoku Mon
60,0.5676429567642957,Wataru,0.03819578956699843,Rival,Jigoku Mon
61,0.5681078568107857,Wataru,0.04222297117284257,Rival,Jigoku Mon
62,0.5685727568572757,Wataru,0.03619238422872173,Rival,Jigoku Mon
63,0.5695025569502556,Wataru,0.061525500217351814,Rival,Jigoku Mon
64,0.5699674569967457,Wataru,0.050421448331153584,Rival,Jigoku Mon
65,0.5704323570432357,Wataru,0.05839773296614781,Rival,Jigoku Mon
66,0.5708972570897257,Wataru,0.05940424445601966,Rival,Jigoku Mon
67,0.5774058577405857,Moritoo,0.02650348553123738,Protagonist,Jigoku Mon
68,0.5778707577870758,Moritoo,0.02768901470095475,Protagonist,Jigoku Mon
69,0.5788005578800558,Wataru,0.023928833952352457,Rival,Jigoku Mon
70,0.5792654579265458,Wataru,0.0234638759843655,Rival,Jigoku Mon
